accepted_name,genus,abund_value,period,early_interval,late_interval,max_ma,min_ma,"Avg(max_ma, min_ma)",paleomodel,geoplate,paleoage,paleolng,paleolat,environment,primary_reference,Quality
Dolichophonus loudonensis,Dolichophonus,1,Silurian,Telychian,,438.5,433.4,435.95,gplates,313,mid,-70.2,-12.47,offshore indet.,M. Laurie. 1899. On a Silurian scorpion and some additional eurypterid remains from the Pentland Hills. Transactions of the Royal Society of Edinburgh 39:575-590,High
Palaeophonus caledonicus,Palaeophonus,1,Silurian,Telychian,Sheinwoodian,438.5,430.5,434.5,gplates,313,mid,-68.84,-12.53,marine indet.,"R. I. Pocock. 1901. The Scottish Silurian scorpion. Quarterly Journal of Microscopical Science, New Series 44:291-311",High
Palaeophonus nuncius,Palaeophonus,6,Silurian,Sheinwoodian,,433.4,430.5,431.95,gplates,302,mid,-49.62,-8.7,carbonate indet.,T. Thorell and G. Lindström. 1884. A Silurian scorpion. The Western Daily Press 1884(Dec 17):3,High
Eramoscorpius brucensis,Eramoscorpius,11,Silurian,Wenlock,,433.4,427.4,430.4,gplates,101,mid,-83.05,-26.1,lagoonal/restricted shallow subtidal,"J. B. Waddington, D. M. Rudkin, and J. A. Dunlop. 2015. A new mid-Silurian aquatic scorpion - one step closer to land?. Biology Letters 11:20140815",High
Proscorpius osborni,Proscorpius,7,Silurian,Pridoli,,423,419.2,421.1,gplates,101,mid,-64.06,-25.78,lagoonal/restricted shallow subtidal,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Proscorpius osborni,Proscorpius,3,Silurian,Pridoli,,423,419.2,421.1,gplates,101,mid,-64.06,-25.78,lagoonal/restricted shallow subtidal,E. N. Kjellesvig-Waering. 1966. Silurian scorpions of New York. Journal of Paleontology 40:359-375,Low
Palaeophonus osborni,Palaeophonus,1,Silurian,Pridoli,,423,419.2,421.1,gplates,101,mid,-64.34,-25.8,lagoonal/restricted shallow subtidal,R. P. Whitfield. 1885. An American Silurian scorpion. Science 6:87-88,High
Proscorpius osborni,Proscorpius,1,Silurian,Pridoli,,423,419.2,421.1,gplates,101,mid,-64.06,-25.78,lagoonal/restricted shallow subtidal,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Hydroscorpius denisoni,Hydroscorpius,1,Early Devonian,Lochkovian,,419.2,410.8,415,gplates,101,mid,-82.63,-22.21,estuary/bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-288,Low
Acanthoscorpio mucronatus,Acanthoscorpio,1,Early Devonian,Lochkovian,,419.2,410.8,415,gplates,101,mid,-82.63,-22.21,estuary/bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-289,Low
Praearcturus,Praearcturus,1,Early Devonian,Lochkovian,,419.2,410.8,415,gplates,101,mid,-82.63,-22.21,estuary/bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-290,Low
Praearcturus gigas,Praearcturus,4,Early Devonian,Lochkovian,,419.2,410.8,415,gplates,315,mid,-40.73,-8.49,terrestrial indet.,"H. Woodward. 1871. On the remains of a giant isopod Praearcturus gigas (H. Woodward) from the Old Red Sandstone of Rowlestone quarry, Herefordshire. Transactions of the Woolhope Field Naturalist’s Club 1870:266-270",Low 
Brontoscorpio anglicus,Brontoscorpio,1,Early Devonian,Lochkovian,,419.2,410.8,415,gplates,315,mid,-40.76,-7.9,terrestrial indet.,E. N. Kjellesvig-Waering. 1972. Brontoscorpio anglicus: a gigantic lower Paleozoic scorpion from central England. Journal of Paleontology 46:39-42,High
Branchioscorpio richardsoni,Branchioscorpio,1,Early Devonian,Lochkovian,,419.2,410.8,415,gplates,101,mid,-82.63,-22.21,estuary/bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Waeringoscorpio westerwaldensis,Waeringoscorpio,10,Early Devonian,Pragian,,410.8,407.6,409.2,gplates,315,mid,-29.66,-4.95,estuary/bay,"M. Poschmann, J. A. Dunlop, and C. Kamenz, G. Scholtz. 2008. The Lower Devonian scorpion Waeringoscorpio and the respirstory nature of its filamentous structures, with the description of a new species from the Westerwald area, Germany. Paläontologische Zeitschrift 82:418-436",High
Waeringoscorpio hefteri,Waeringoscorpio,3,Early Devonian,Early Emsian,,409.1,402.5,405.8,gplates,315,mid,-27.31,-7.91,estuary/bay,"M. Poschmann, J. A. Dunlop, and C. Kamenz, G. Scholtz. 2008. The Lower Devonian scorpion Waeringoscorpio and the respirstory nature of its filamentous structures, with the description of a new species from the Westerwald area, Germany. Paläontologische Zeitschrift 82:418-436",High
Petaloscorpio bureaui,Petaloscorpio,1,Late Devonian,Frasnian,,382.7,372.2,377.45,gplates,101,mid,-33.7,-28.8,estuary/bay,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Hubeiscorpio gracilitarsus,Hubeiscorpio,1,Late Devonian,Frasnian,,382.7,372.2,377.45,gplates,611,mid,86.53,-21.72,terrestrial indet.,"D. Walossek, C. S. Li, and C. Brauckmann. 1990. A scorpion from the Upper Devonian of Hubei Province, China (Arachnida, Scorpionida). Neues Jahrbuch für Geologie und Paläontologie, Montashefte 1990(3):169-180",High
Gondwanascorpio emzantsiensis,Gondwanascorpio,2,Late Devonian,Famennian,,372.2,358.9,365.55,gplates,701,mid,-172.54,-62.52,lagoonal,R. W. Gess. 2013. The earliest record of terrestrial animals in Gondwana: a scorpion from the Famennian (Late Devonian) Witpoort Formation of South Africa. African Invertebrates 54:373-379,High
Trachyscorpio squarrosus,Trachyscorpio,3,Late Devonian,Ivorian,,353.8,345.3,349.55,gplates,313,mid,-11.93,-32.07,fluvial-lacustrine indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Archaeoctonus glaber,Archaeoctonus,2,Early Carboniferous,Chadian,,345.3,345,345.15,gplates,313,mid,-11.3,-31.73,marine indet.,"B. N. Peach. 1883. A new species of fossil scorpions from the Carboniferous rocks of Scotland and the English borders, with a review of the genera Eoscorpius and Mazonia of Messrs Meek and Worthen. Transactions of the Royal Society of Edinburgh 30:397-412",High
Scoloposcorpio cramondensis,Scoloposcorpio,2,Early Carboniferous,Chadian,,345.3,345,345.15,gplates,313,mid,-11.49,-30.84,marine indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-287,Low
Pseudarchaeoctonus denticulatus,Pseudarchaeoctonus,1,Early Carboniferous,Arundian,,345,342.8,343.9,gplates,313,mid,-11.12,-31.43,marine indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-288,Low
Gigantoscorpio willsi,Gigantoscorpio,3,Early Carboniferous,Arundian,,345,342.8,343.9,gplates,313,mid,-11.12,-31.43,marine indet.,E. N. Kjellesvig-Waering. 1986. A restudy of the fossil Scorpionida of the world. Palaeontographica Americana 55:1-289,Low
